Test #,Strategy,Parameters,Return %,Sharpe,Win Rate %,Max DD %,Trades,Profit Factor
83,RSI,"{'rsi_period': 14, 'rsi_lower': 30, 'rsi_upper': 70}",-5.48,-0.03,69.6,-57.8,23,1.09
78,RSI,"{'rsi_period': 14, 'rsi_lower': 25, 'rsi_upper': 65}",-6.33,-0.04,81.8,-57.4,22,1.08
71,RSI,"{'rsi_period': 10, 'rsi_lower': 35, 'rsi_upper': 70}",-10.51,-0.05,56.8,-64.4,44,1.08
67,RSI,"{'rsi_period': 10, 'rsi_lower': 30, 'rsi_upper': 70}",-11.18,-0.06,47.1,-57.2,34,1.04
66,RSI,"{'rsi_period': 10, 'rsi_lower': 30, 'rsi_upper': 65}",-16.77,-0.09,47.4,-62.6,38,1.04
70,RSI,"{'rsi_period': 10, 'rsi_lower': 35, 'rsi_upper': 65}",-18.61,-0.1,54.2,-66.9,48,1.03
59,RSI,"{'rsi_period': 10, 'rsi_lower': 20, 'rsi_upper': 70}",-17.6,-0.1,59.1,-56.7,22,0.92
58,RSI,"{'rsi_period': 10, 'rsi_lower': 20, 'rsi_upper': 65}",-14.79,-0.1,68.0,-63.6,25,1.02
86,RSI,"{'rsi_period': 14, 'rsi_lower': 35, 'rsi_upper': 65}",-19.67,-0.11,63.3,-63.4,30,0.97
122,BollingerBands,"{'bb_period': 15, 'bb_std': 1.5}",-29.83,-0.18,58.3,-67.3,36,0.88
82,RSI,"{'rsi_period': 14, 'rsi_lower': 30, 'rsi_upper': 65}",-39.07,-0.28,56.0,-60.8,25,0.61
106,RSI,"{'rsi_period': 30, 'rsi_lower': 20, 'rsi_upper': 65}",0.0,,,-0.0,0,
107,RSI,"{'rsi_period': 30, 'rsi_lower': 20, 'rsi_upper': 70}",0.0,,,-0.0,0,
108,RSI,"{'rsi_period': 30, 'rsi_lower': 20, 'rsi_upper': 75}",0.0,,,-0.0,0,
109,RSI,"{'rsi_period': 30, 'rsi_lower': 20, 'rsi_upper': 80}",0.0,,,-0.0,0,
